,Simplified,Pinyin,Meaning
0,文艺,wényì,literature and art
1,沿途,yántú,"on the way, throughout a journey"
2,招待,zhāodài,"receive (guests), serve (customers)"
3,架设,jiàshè,erect (on stilts/posts)
4,招待,zhāodài,"receive (guests), serve (customers)"
5,长官,zhǎngguān,"official, principal, senior, superordinate, chief, commanding official, prefect, senior officer, president, higher-up, magistrate, ephor, superior, superintendent, commanding officer, director, governor, syndic, senior/commanding officer/official, chancellor"
6,师傅,shīfù,"emperor, tutor of king, tutor of emperor, professional, address for service workers, master, general term of address in late 7 0 s an, general term of address in late 70s and 80s, master worker, tutor of king/emperor"
7,哲学家,zhéxuéjiā,philosopher
8,夏威夷,xiàwēiyí,"Aloha State, Hawaii, Hawai'i, HI"
9,放置,fàngzhì,"dispose, feed, set, locate, go, plant, pose, sit, lay, stick, shove, repose, bestow, sock, lay aside, perch, put, position, deposit, depose, get, lay up, mount, place, localize"
10,沈重,chénzhòng,"heavy, serious"
11,泥土,nítǔ,"dirt, muck, earth, marl, soil, soli, clay, clart"
12,卷,juàn,"volume, coil, furl, roll, spool, documents, m.[general], ,part, data file, tome, reel, book, examination paper, cylindrical mass of something, file, dossier"
13,自我,zìwǒ,stick to one's own way of doing things
14,见解,jiànjiě,"eyeshot, view, horizon, understanding, outlook, light, eyes, spectacle, judgment, sentiment, eyesight, opinion, thought, sight, standpoint, bet, hypothesis, eye, viewpoint, theory, possibility, judgement, slant, doxy, purview, ruling, thinking, supposal, position, persuasion, mind"
15,定期,dìngqí,"periodical, regular"
16,推销,tuīxiāo,"promote sale of, peddle"
17,里长,lǐzhǎng,"head of a neighborhood of 25 families, precinct head"
18,善良,shànliáng,"good and kind, decent"
19,余,yū,"det.: odd, plus"
20,遗迹,yíjī,"traces, site, hangover, remains, shadow, vestigium, relic, historical remains, vestiges, trace, vestige, monument, remnant"
21,演说,yǎnshuō,"speech, address"
22,税,shuì,"droit, tax, geld, due, scot, exaction, capital levy, gabelle, duty, taxation, revenue enhancement"
23,经销,jīngxiāo,"sell on commission, sell"
24,遊乐,yóulè,"amuse oneself, have fun"
25,麻醉,mázuì,"anesthesize, poison, drug"
26,评审,píngshěn,"judge, referee, umpire"
27,董事会,dǒngshìhuì,"board, board of directors, board of administration, syndicate, directorate, board of regents, board of trustees, board_of_directors, directory"
28,病情,bìngqíng,patient's condition
29,善良,shànliáng,"good and kind, decent"
30,数位,shùwèi,digital
31,勇于,yǒngyū,"be bold in, have the courage to, have courage to, be brave in"
32,商量,shāngliáng,"talk, consult, arrange, confer, talk over, discussion, advise, discuss, concert"
33,繁华,fánhuá,"flourishing, bustling, busy"
34,章程,zhāngchéng,"constitution, rules, charter, rule, regulation, code, regulations, solution, statute, law, contract, procedure, way, memorandum, prospectus"
35,清新,qīngxīn,"pure and fresh, refreshing (of style/fashion/etc.)"
36,强人,qiángrén,"Big Brother, strong man, strongman, big_brother, highwaymen, robbers, powerful person"
37,降价,jiàngjià,lower prices
38,哪儿,nǎér,where
39,致使,zhìshǐ,"become, render, go, get, result in, cause, make"
40,内外,nèiwài,"inside and outside, domestic and foreign"
41,明明,míngmíng,"obviously, plainly"
42,院方,yuànfāng,hospital authorities
43,员警,yuánjǐng,policeman
44,金门,jīnmén,"Chinmen, Kinmen (County in Taiwan)"
45,耶稣,yēsū,"Galilean, Jesus, cross"
46,倒,dǎo,"fall over, topple, collapse"
47,收拾,shōushí,"put in order, tidy up"
48,自觉,zìjué,be conscious/aware
49,形,xíng,"form, shape, body, entity"
50,老板,lǎobǎn,"proprietor, chief, shopkeeper, Tuan, baas, honcho, hirer, storekeeper, milord, mugwump, cit, market keeper, buckra, governor, boss, joss, tradesman, employer, guv"
51,老年,lǎonián,"senescence, caducity, senility, old_age, agedness, hoariness, age, old age"
52,候鸟,hòuniǎo,"visitant, bird of passage, bird_of_passage, migrator, migrant, migratory bird, visitor"
53,踢,tī,"shin, spurn, drop-kick, prick, boot, kick, toe, dropkick, play, lunge, punt"
54,反复,fǎnfù,"repeatedly, backward_and_forward"
55,力气,lìqì,"physical strength, effort"
56,不法,bùfǎ,"lawless, illegal"
57,不惜,bùxí,"not stint, not hesitate (to do sth.)"
58,营收,yíngshōu,income( of business)
59,福建,fújiàn,"Fujian, Fujian (province), Fukien"
60,宽广,kuānguǎng,"wide, vast, extensive, broad"
61,总和,zǒnghé,"sum, total, sum total"
62,瓶颈,píngjǐng,bottleneck
63,县政府,xiànzhèngfǔ,county government
64,通,tōng,m.[event]
65,尽力,jìnlì,"do_one's_best, do all one can, render, take pains, be at pains, take_pains, stretch, strain, strive, try one's best"
66,繁华,fánhuá,"flourishing, bustling, busy"
67,减肥,jiǎnféi,lose weight
68,等候,děnghòu,"hold back, wait, look, expect, abide, await, hold off, tarry, expectation, hang_on"
69,围墙,wéiqiáng,enclosing wall
70,队员,duìyuán,team member
71,农历,nónglì,"farmer's_calendar, lunar calendar, lunar_calendar"
72,减肥,jiǎnféi,lose weight
73,电玩,diànwán,computer game
74,增添,zēngtiān,"increase, accession, throw in, point_up, add, subjoin, addition, lend"
75,扩展,kuòzhǎn,"expand, spread, extend"
76,心理学,xīnlǐxué,psychology
77,镇,zhèn,"town, garrison post, trading center"
78,齣,chū,"play, m.[event],"
79,舆论,yūlùn,"sense, vox_populi, popular opinion, public opinion, opinion, public_opinion, consensus, vox populi"
80,编辑,biānjí,"editor, compiler"
81,发电,fādiàn,"electricity generation, generate electricity"
82,创造出,chuàngzàochū,create
83,悲哀,bēiāi,"grieved, sorrowful"
84,扩展,kuòzhǎn,"expand, spread, extend"
85,义卖,yìmài,sell something for public welfare
86,悲观,bēiguān,pessimistic
87,装置,zhuāngzhì,"install, fit"
88,买卖,mǎimài,"buying and selling, business deal/transaction, (small) merchant enterprise"
89,义卖,yìmài,sell something for public welfare
90,管教,guǎnjiào,"subject sb. to discipline, restrain and instruct"
91,静,jìng,"still, quiet, calm"
92,新知,xīnzhī,new knowledge/learning
93,舞会,wǔhuì,"kickup, fandango, ball, debut, dance, promenade, dance (party), shindig, prom"
94,悲哀,bēiāi,"grieved, sorrowful"
95,寝室,qǐnshì,"bedchamber, sleeping room, roost, chamber, dormitory, bower, lying, bedroom"
96,管教,guǎnjiào,"subject sb. to discipline, restrain and instruct"
97,遴选,línxuǎn,select (sb. for a post)
98,广东,guǎngdōng,"Kwangtung, Guangdong, Guangdong province"
99,遴选,línxuǎn,select (sb. for a post)
100,检察官,jiǎncháguān,public prosecutor
101,予,yǔ,give
102,手臂,shǒubì,arm
103,一家人,yìjiārén,house
104,心头,xīntóu,"mind, heart"
105,土壤,tǔrǎng,soil
106,大厅,dàtīng,"big/main hall, parlor"
107,检索,jiǎnsuǒ,"retrieve, research"
108,南北,nánběi,"north and south, from east to west, north-south"
109,怀孕,huáiyùn,"gravid, expect, in a family way, with child, pregnant, be pregnant, gestate, impregnate, carry, bear, carry to term, be expecting, conceive"
110,顾,gù,"turn round and look at, attend to, look after, take into consideration, visit, call on"
111,医药,yīyào,"medicament, medicine, curative, medication, remedy, physic"
112,印刷,yìnshuā,print
113,志愿,zhìyuàn,"aspiration, wish, ideal"
114,列,liè,"arrange, line up, list, enter in a list"
115,肝,gān,"hepatic, liver"
116,印刷,yìnshuā,print
117,替代,tìdài,"replace, supervene upon, replacement, supersede, substitute for, alternate, substitute, supersession, displace, supplant"
118,使命,shǐmìng,"vocation, calling, military mission, mission, embassy, errand"
119,恶劣,èliè,"vile, nasty"
120,研判,yánpàn,infer
121,长远,chángyuǎn,"long-range, long, long-term, far-reaching"
122,叶子,yèzi5,"foliage, frond, leafage, leaf, leave"
123,恶劣,èliè,"vile, nasty"
